2025-07-02-09-12-03 - 0000	 - IoU 0.0008	 - PD 0.6395	 - FA 335467.0586
2025-07-02-09-13-57 - 0003	 - IoU 0.0011	 - PD 0.1701	 - FA 194663.5839
2025-07-02-09-15-06 - 0005	 - IoU 0.0011	 - PD 0.1162	 - FA 175472.1267
2025-07-02-09-15-48 - 0006	 - IoU 0.3576	 - PD 0.0884	 - FA 19.5859
2025-07-02-09-16-31 - 0007	 - IoU 0.4008	 - PD 0.0795	 - FA 25.2795
2025-07-02-09-17-20 - 0008	 - IoU 0.4652	 - PD 0.0824	 - FA 32.4914
2025-07-02-09-18-06 - 0009	 - IoU 0.4770	 - PD 0.0724	 - FA 26.3423
2025-07-02-09-18-49 - 0010	 - IoU 0.4982	 - PD 0.0668	 - FA 41.2215
2025-07-02-09-20-56 - 0013	 - IoU 0.5118	 - PD 0.0556	 - FA 23.6094
2025-07-02-09-23-13 - 0016	 - IoU 0.5218	 - PD 0.0456	 - FA 27.6328
2025-07-02-09-28-20 - 0023	 - IoU 0.5269	 - PD 0.0356	 - FA 43.5749
2025-07-02-09-29-03 - 0024	 - IoU 0.5584	 - PD 0.0344	 - FA 43.8026
2025-07-02-09-36-21 - 0034	 - IoU 0.5744	 - PD 0.0246	 - FA 47.5224
2025-07-02-09-37-54 - 0036	 - IoU 0.5750	 - PD 0.0241	 - FA 45.7764
2025-07-02-09-38-36 - 0037	 - IoU 0.5834	 - PD 0.0235	 - FA 39.5514
2025-07-02-09-42-52 - 0042	 - IoU 0.5848	 - PD 0.0210	 - FA 35.9834
2025-07-02-09-43-33 - 0043	 - IoU 0.6098	 - PD 0.0199	 - FA 28.9993
2025-07-02-09-49-18 - 0051	 - IoU 0.6201	 - PD 0.0177	 - FA 23.6094
